relative_path,char,roman_label,frames,is_cropped,signer,type
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\A.npz,अ,A,99,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\AA.npz,आ,AA,151,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\AH.npz,अः,AH,110,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\AI.npz,ऐ,AI,114,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\AM.npz,अं,AM,117,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\AU.npz,औ,AU,108,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\E.npz,ए,E,77,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\I.npz,इ,I,89,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\II.npz,ई,II,104,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\O.npz,ओ,O,90,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\RE.npz,ऋ,RE,93,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\U.npz,उ,U,93,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright\UU.npz,ऊ,UU,90,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\A.npz,अ,A,99,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\AA.npz,आ,AA,151,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\AH.npz,अः,AH,110,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\AI.npz,ऐ,AI,114,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\AM.npz,अं,AM,117,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\AU.npz,औ,AU,108,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\E.npz,ए,E,77,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\I.npz,इ,I,89,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\II.npz,ई,II,104,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\O.npz,ओ,O,90,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\RE.npz,ऋ,RE,93,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\U.npz,उ,U,93,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Bright_Cropped\UU.npz,ऊ,UU,90,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\A.npz,अ,A,187,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\AA.npz,आ,AA,103,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\AH.npz,अः,AH,112,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\AI.npz,ऐ,AI,116,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\AM.npz,अं,AM,121,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\AU.npz,औ,AU,100,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\E.npz,ए,E,170,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\I.npz,इ,I,101,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\II.npz,ई,II,186,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\O.npz,ओ,O,110,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\RE.npz,ऋ,RE,91,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\U.npz,उ,U,62,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark\UU.npz,ऊ,UU,119,False,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\A.npz,अ,A,187,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\AA.npz,आ,AA,103,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\AH.npz,अः,AH,112,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\AI.npz,ऐ,AI,116,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\AM.npz,अं,AM,121,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\AU.npz,औ,AU,100,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\E.npz,ए,E,60,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\I.npz,इ,I,101,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\II.npz,ई,II,186,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\O.npz,ओ,O,110,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\RE.npz,ऋ,RE,91,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\U.npz,उ,U,62,True,S1,sign
sequences\vowel\S1_NSL_Vowel_Unprepared_Dark_Cropped\UU.npz,ऊ,UU,119,True,S1,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\A.npz,अ,A,71,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\AA.npz,आ,AA,51,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\AH.npz,अः,AH,41,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\AI.npz,ऐ,AI,69,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\AM.npz,अं,AM,49,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\AU.npz,औ,AU,57,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\E.npz,ए,E,58,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\I.npz,इ,I,57,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\II.npz,ई,II,66,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\O.npz,ओ,O,63,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\RE.npz,ऋ,RE,82,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\U.npz,उ,U,61,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright\UU.npz,ऊ,UU,59,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\A.npz,अ,A,71,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\AA.npz,आ,AA,30,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\AH.npz,अः,AH,41,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\AI.npz,ऐ,AI,69,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\AM.npz,अं,AM,49,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\AU.npz,औ,AU,57,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\E.npz,ए,E,58,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\I.npz,इ,I,57,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\II.npz,ई,II,66,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\O.npz,ओ,O,63,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\RE.npz,ऋ,RE,82,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\U.npz,उ,U,61,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Bright_Cropped\UU.npz,ऊ,UU,59,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\A.npz,अ,A,95,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\AA.npz,आ,AA,70,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\AH.npz,अः,AH,112,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\AI.npz,ऐ,AI,111,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\AM.npz,अं,AM,160,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\AU.npz,औ,AU,57,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\E.npz,ए,E,126,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\I.npz,इ,I,106,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\II.npz,ई,II,91,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\O.npz,ओ,O,132,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\RE.npz,ऋ,RE,69,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\U.npz,उ,U,101,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark\UU.npz,ऊ,UU,96,False,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\A.npz,अ,A,95,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\AA.npz,आ,AA,121,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\AH.npz,अः,AH,112,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\AI.npz,ऐ,AI,111,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\AM.npz,अं,AM,160,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\AU.npz,औ,AU,57,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\E.npz,ए,E,126,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\I.npz,इ,I,106,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\II.npz,ई,II,91,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\O.npz,ओ,O,132,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\RE.npz,ऋ,RE,69,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\U.npz,उ,U,101,True,S2,sign
sequences\vowel\S2_NSL_Vowel_Unprepared_Dark_Cropped\UU.npz,ऊ,UU,96,True,S2,sign
