relative_path,char,roman_label,frames,is_cropped,signer,type
sequences\consonant\S1_NSL_Consonant_Bright\BA.npz,ब,BA,80,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\BHA.npz,भ,BHA,94,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\CHA.npz,च,CHA,77,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\CHHA.npz,छ,CHHA,93,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\DA.npz,ड,DA,99,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\DAA.npz,द,DAA,107,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\DHA.npz,ढ,DHA,147,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\DHAA.npz,ध,DHAA,84,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\D_SHA.npz,स,D_SHA,87,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\GA.npz,ग,GA,75,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\GHA.npz,घ,GHA,100,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\GYA.npz,ज्ञ,GYA,83,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\HA.npz,ह,HA,85,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\JA.npz,ज,JA,92,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\JHA.npz,झ,JHA,86,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\KA.npz,क,KA,97,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\KHA.npz,ख,KHA,87,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\KSHA.npz,क्ष,KSHA,93,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\LA.npz,ल,LA,124,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\MA.npz,म,MA,87,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\M_SHA.npz,ष,M_SHA,99,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\NA.npz,ण,NA,99,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\NAA.npz,न,NAA,88,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\NGA.npz,ङ,NGA,118,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\PA.npz,प,PA,95,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\PHA.npz,फ,PHA,100,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\RA.npz,र,RA,78,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\TA.npz,ट,TA,72,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\TAA.npz,त,TAA,102,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\THA.npz,ठ,THA,127,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\THAA.npz,थ,THAA,93,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\TRA.npz,त्र,TRA,90,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\T_SHA.npz,श,T_SHA,95,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\WA.npz,व,WA,91,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\YA.npz,य,YA,75,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright\YAN.npz,ञ,YAN,74,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\BA.npz,ब,BA,80,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\BHA.npz,भ,BHA,94,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\CHA.npz,च,CHA,77,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\CHHA.npz,छ,CHHA,93,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\DA.npz,ड,DA,99,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\DAA.npz,द,DAA,107,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\DHA.npz,ढ,DHA,147,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\DHAA.npz,ध,DHAA,84,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\D_SHA.npz,स,D_SHA,87,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\GA.npz,ग,GA,75,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\GHA.npz,घ,GHA,100,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\GYA.npz,ज्ञ,GYA,83,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\HA.npz,ह,HA,85,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\JA.npz,ज,JA,92,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\JHA.npz,झ,JHA,86,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\KA.npz,क,KA,97,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\KHA.npz,ख,KHA,87,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\KSHA.npz,क्ष,KSHA,93,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\LA.npz,ल,LA,124,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\MA.npz,म,MA,87,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\M_SHA.npz,ष,M_SHA,99,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\NA.npz,ण,NA,99,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\NAA.npz,न,NAA,88,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\NGA.npz,ङ,NGA,118,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\PA.npz,प,PA,95,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\PHA.npz,फ,PHA,100,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\RA.npz,र,RA,78,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\TA.npz,ट,TA,72,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\TAA.npz,त,TAA,102,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\THA.npz,ठ,THA,127,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\THAA.npz,थ,THAA,93,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\TRA.npz,त्र,TRA,90,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\T_SHA.npz,श,T_SHA,95,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\WA.npz,व,WA,91,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\YA.npz,य,YA,75,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Bright_Cropped\YAN.npz,ञ,YAN,74,True,S1,sign
sequences\consonant\S1_NSL_Consonant_Dark\BA.npz,ब,BA,113,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Dark\BHA.npz,भ,BHA,120,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Dark\CHA.npz,च,CHA,86,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Dark\CHHA.npz,छ,CHHA,125,False,S1,sign
sequences\consonant\S1_NSL_Consonant_Dark\DA.npz,ड,DA,114,False,S1,sign
