relative_path,char,roman_label,frames,is_cropped,signer,type
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\KA_31_61.npz,क,KA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_KA_to_KHA.npz,ख,trans_KA_to_KHA,8,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\KHA_70_100.npz,ख,KHA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_KHA_to_GA.npz,ग,trans_KHA_to_GA,20,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\GA_121_138.npz,ग,GA,18,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_GA_to_GHA.npz,घ,trans_GA_to_GHA,7,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\GHA_146_180.npz,घ,GHA,35,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_GHA_to_NGA.npz,ङ,trans_GHA_to_NGA,8,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\NGA_189_220.npz,ङ,NGA,32,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_NGA_to_CHA.npz,च,trans_NGA_to_CHA,10,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\CHA_231_256.npz,च,CHA,26,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_CHA_to_CHHA.npz,छ,trans_CHA_to_CHHA,17,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\CHHA_274_296.npz,छ,CHHA,23,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_CHHA_to_JA.npz,ज,trans_CHHA_to_JA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\JA_306_342.npz,ज,JA,37,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_JA_to_JHA.npz,झ,trans_JA_to_JHA,10,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\JHA_353_374.npz,झ,JHA,22,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_JHA_to_YAN.npz,ञ,trans_JHA_to_YAN,6,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\YAN_381_411.npz,ञ,YAN,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_YAN_to_TA.npz,ट,trans_YAN_to_TA,6,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\TA_418_455.npz,ट,TA,38,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_TA_to_THA.npz,ठ,trans_TA_to_THA,16,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\THA_472_495.npz,ठ,THA,24,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_THA_to_DA.npz,ड,trans_THA_to_DA,7,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\DA_503_528.npz,ड,DA,26,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_DA_to_DHA.npz,ढ,trans_DA_to_DHA,8,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\DHA_537_562.npz,ढ,DHA,26,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_DHA_to_NA.npz,ण,trans_DHA_to_NA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\NA_572_599.npz,ण,,28,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_NA_to_TAA.npz,त,trans_NA_to_TAA,10,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\TAA_610_641.npz,त,TAA,32,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_TAA_to_THAA.npz,थ,trans_TAA_to_THAA,17,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\THAA_659_681.npz,थ,THAA,23,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_THAA_to_DAA.npz,द,trans_THAA_to_DAA,4,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\DAA_686_714.npz,द,DAA,29,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_DAA_to_DHAA.npz,ध,trans_DAA_to_DHAA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\DHAA_724_752.npz,ध,DHAA,29,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_DHAA_to_NAA.npz,न,trans_DHAA_to_NAA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\NAA_762_785.npz,न,NAA,24,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_NAA_to_PA.npz,प,trans_NAA_to_PA,8,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\PA_794_828.npz,प,PA,35,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_PA_to_PHA.npz,फ,trans_PA_to_PHA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\PHA_838_870.npz,फ,PHA,33,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_PHA_to_BA.npz,ब,trans_PHA_to_BA,12,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\BA_883_913.npz,ब,BA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_BA_to_BHA.npz,भ,trans_BA_to_BHA,24,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\BHA_938_950.npz,भ,BHA,13,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_BHA_to_MA.npz,म,trans_BHA_to_MA,9,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\MA_960_990.npz,म,MA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_MA_to_YA.npz,य,trans_MA_to_YA,3,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\YA_994_1019.npz,य,YA,26,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_YA_to_RA.npz,र,trans_YA_to_RA,13,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\RA_1033_1062.npz,र,RA,30,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_RA_to_LA.npz,ल,trans_RA_to_LA,8,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\LA_1071_1097.npz,ल,LA,27,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_LA_to_WA.npz,व,trans_LA_to_WA,10,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\WA_1108_1135.npz,व,WA,28,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_WA_to_T_SHA.npz,श,trans_WA_to_T_SHA,12,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\T_SHA_1148_1202.npz,श,T_SHA,55,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_T_SHA_to_M_SHA.npz,ष,trans_T_SHA_to_M_SHA,20,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\M_SHA_1223_1238.npz,ष,M_SHA,16,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_M_SHA_to_D_SHA.npz,स,trans_M_SHA_to_D_SHA,11,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\D_SHA_1250_1272.npz,स,D_SHA,23,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_D_SHA_to_HA.npz,ह,trans_D_SHA_to_HA,7,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\HA_1280_1310.npz,ह,HA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_HA_to_KSHA.npz,क्ष,trans_HA_to_KSHA,14,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\KSHA_1325_1355.npz,क्ष,KSHA,31,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_KSHA_to_TRA.npz,त्र,trans_KSHA_to_TRA,4,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\TRA_1360_1384.npz,त्र,TRA,25,False,S14,sign
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\trans_TRA_to_GYA.npz,ज्ञ,trans_TRA_to_GYA,10,False,S14,transition
sequences\NSL_Consonant_Multi\S14_NSL_Consonant_RealWorld\S14_NSL_Consonant\GYA_1395_1426.npz,ज्ञ,GYA,32,False,S14,sign
sequences\NSL_Consonant_Multi\S3_NSL_Consonant_Prepared\S3_all_consonant_Phone_Camera\KA_15_121.npz,क,KA,107,True,S3,sign
sequences\NSL_Consonant_Multi\S3_NSL_Consonant_Prepared\S3_all_consonant_Phone_Camera\trans_KA_to_KHA.npz,ख,trans_KA_to_KHA,12,True,S3,transition
sequences\NSL_Consonant_Multi\S3_NSL_Consonant_Prepared\S3_all_consonant_Phone_Camera\KHA_134_235.npz,ख,KHA,102,True,S3,sign
